id,url,title,difficulty
abc235_a,https://atcoder.jp/contests/abc235/tasks/abc235_a,A. Rotate,9
abc235_b,https://atcoder.jp/contests/abc235/tasks/abc235_b,B. Climbing Takahashi,20
abc235_c,https://atcoder.jp/contests/abc235/tasks/abc235_c,C. The Kth Time Query,249
abc235_d,https://atcoder.jp/contests/abc235/tasks/abc235_d,D. Multiply and Rotate,862
abc235_e,https://atcoder.jp/contests/abc235/tasks/abc235_e,E. MST + 1,1304
abc235_h,https://atcoder.jp/contests/abc235/tasks/abc235_h,Ex. Painting Weighted Graph,2967
abc235_f,https://atcoder.jp/contests/abc235/tasks/abc235_f,F. Variety of Digits,2129
abc235_g,https://atcoder.jp/contests/abc235/tasks/abc235_g,G. Gardens,2462
abc234_a,https://atcoder.jp/contests/abc234/tasks/abc234_a,A. Weird Function,7
abc234_b,https://atcoder.jp/contests/abc234/tasks/abc234_b,B. Longest Segment,46
abc234_c,https://atcoder.jp/contests/abc234/tasks/abc234_c,C. Happy New Year!,155
abc234_d,https://atcoder.jp/contests/abc234/tasks/abc234_d,D. Prefix K-th Max,503
abc234_e,https://atcoder.jp/contests/abc234/tasks/abc234_e,E. Arithmetic Number,899
abc234_h,https://atcoder.jp/contests/abc234/tasks/abc234_h,Ex. Enumerate Pairs,2505
abc234_f,https://atcoder.jp/contests/abc234/tasks/abc234_f,F. Reordering,1596
abc234_g,https://atcoder.jp/contests/abc234/tasks/abc234_g,G. Divide a Sequence,2306
arc132_a,https://atcoder.jp/contests/arc132/tasks/arc132_a,A. Permutation Grid,350
arc132_b,https://atcoder.jp/contests/arc132/tasks/arc132_b,B. Shift and Reverse,753
arc132_c,https://atcoder.jp/contests/arc132/tasks/arc132_c,C. Almost Sorted,1616
arc132_d,https://atcoder.jp/contests/arc132/tasks/arc132_d,D. Between Two Binary Strings,2221
arc132_e,https://atcoder.jp/contests/arc132/tasks/arc132_e,E. Paw,3144
arc132_f,https://atcoder.jp/contests/arc132/tasks/arc132_f,F. Takahashi The Strongest,3076
abc233_a,https://atcoder.jp/contests/abc233/tasks/abc233_a,A. 10yen Stamp,9
abc233_b,https://atcoder.jp/contests/abc233/tasks/abc233_b,B. A Reverse,23
abc233_c,https://atcoder.jp/contests/abc233/tasks/abc233_c,C. Product,604
abc233_d,https://atcoder.jp/contests/abc233/tasks/abc233_d,D. Count Interval,726
abc233_e,https://atcoder.jp/contests/abc233/tasks/abc233_e,E. Σ[k=0..10^100]floor(X／10^k),969
abc233_h,https://atcoder.jp/contests/abc233/tasks/abc233_h,Ex. Manhattan Christmas Tree,2530
abc233_f,https://atcoder.jp/contests/abc233/tasks/abc233_f,F. Swap and Sort,2038
abc233_g,https://atcoder.jp/contests/abc233/tasks/abc233_g,G. Strongest Takahashi,2438
abc232_a,https://atcoder.jp/contests/abc232/tasks/abc232_a,A. QQ solver,9
abc232_b,https://atcoder.jp/contests/abc232/tasks/abc232_b,B. Caesar Cipher,82
abc232_c,https://atcoder.jp/contests/abc232/tasks/abc232_c,C. Graph Isomorphism,685
abc232_d,https://atcoder.jp/contests/abc232/tasks/abc232_d,D. Weak Takahashi,539
abc232_e,https://atcoder.jp/contests/abc232/tasks/abc232_e,E. Rook Path,1380
abc232_f,https://atcoder.jp/contests/abc232/tasks/abc232_f,F. Simple Operations on Sequence,1857
abc232_g,https://atcoder.jp/contests/abc232/tasks/abc232_g,G. Modulo Shortest Path,2550
abc232_h,https://atcoder.jp/contests/abc232/tasks/abc232_h,H. King's Tour,2780
abc231_a,https://atcoder.jp/contests/abc231/tasks/abc231_a,A. Water Pressure,4
abc231_b,https://atcoder.jp/contests/abc231/tasks/abc231_b,B. Election,39
abc231_c,https://atcoder.jp/contests/abc231/tasks/abc231_c,C. Counting 2,194
abc231_d,https://atcoder.jp/contests/abc231/tasks/abc231_d,D. Neighbors,726
abc231_e,https://atcoder.jp/contests/abc231/tasks/abc231_e,E. Minimal payments,1740
abc231_f,https://atcoder.jp/contests/abc231/tasks/abc231_f,F. Jealous Two,1580
abc231_g,https://atcoder.jp/contests/abc231/tasks/abc231_g,G. Balls in Boxes,2606
abc231_h,https://atcoder.jp/contests/abc231/tasks/abc231_h,H. Minimum Coloring,2681
arc131_a,https://atcoder.jp/contests/arc131/tasks/arc131_a,A. Two Lucky Numbers,39
arc131_b,https://atcoder.jp/contests/arc131/tasks/arc131_b,B. Grid Repainting 4,99
arc131_c,https://atcoder.jp/contests/arc131/tasks/arc131_c,C. Zero XOR,1162
arc131_d,https://atcoder.jp/contests/arc131/tasks/arc131_d,D. AtArcher,2271
arc131_e,https://atcoder.jp/contests/arc131/tasks/arc131_e,E. Christmas Wreath,2314
arc131_f,https://atcoder.jp/contests/arc131/tasks/arc131_f,F. ARC Stamp,3501
agc056_a,https://atcoder.jp/contests/agc056/tasks/agc056_a,A. Three Cells per Row and Column,1290
agc056_b,https://atcoder.jp/contests/agc056/tasks/agc056_b,B. Range Argmax,3339
agc056_c,https://atcoder.jp/contests/agc056/tasks/agc056_c,C. 01 Balanced,2481
agc056_d,https://atcoder.jp/contests/agc056/tasks/agc056_d,D. Subset Sum Game,3339
agc056_e,https://atcoder.jp/contests/agc056/tasks/agc056_e,E. Cheese,3877
agc056_f,https://atcoder.jp/contests/agc056/tasks/agc056_f,F. Degree Sequence in DFS Order,4310
abc230_a,https://atcoder.jp/contests/abc230/tasks/abc230_a,A. AtCoder Quiz 3,5
abc230_b,https://atcoder.jp/contests/abc230/tasks/abc230_b,B. Triple Metre,37
abc230_c,https://atcoder.jp/contests/abc230/tasks/abc230_c,C. X drawing,566
abc230_d,https://atcoder.jp/contests/abc230/tasks/abc230_d,D. Destroyer Takahashi,963
abc230_e,https://atcoder.jp/contests/abc230/tasks/abc230_e,E. Fraction Floor Sum,969
abc230_f,https://atcoder.jp/contests/abc230/tasks/abc230_f,F. Predilection,2113
abc230_g,https://atcoder.jp/contests/abc230/tasks/abc230_g,G. GCD Permutation,2516
abc230_h,https://atcoder.jp/contests/abc230/tasks/abc230_h,H. Bullion,3528
arc130_a,https://atcoder.jp/contests/arc130/tasks/arc130_a,A. Remove One Character,124
arc130_b,https://atcoder.jp/contests/arc130/tasks/arc130_b,B. Colorful Lines,576
arc130_c,https://atcoder.jp/contests/arc130/tasks/arc130_c,C. Digit Sum Minimization,1814
arc130_d,https://atcoder.jp/contests/arc130/tasks/arc130_d,D. Zigzag Tree,2437
arc130_e,https://atcoder.jp/contests/arc130/tasks/arc130_e,E. Increasing Minimum,3188
arc130_f,https://atcoder.jp/contests/arc130/tasks/arc130_f,F. Replace by Average,3211
abc229_a,https://atcoder.jp/contests/abc229/tasks/abc229_a,A. First Grid,24
abc229_b,https://atcoder.jp/contests/abc229/tasks/abc229_b,B. Hard Calculation,42
abc229_c,https://atcoder.jp/contests/abc229/tasks/abc229_c,C. Cheese,165
abc229_d,https://atcoder.jp/contests/abc229/tasks/abc229_d,D. Longest X,745
abc229_e,https://atcoder.jp/contests/abc229/tasks/abc229_e,E. Graph Destruction,1015
abc229_f,https://atcoder.jp/contests/abc229/tasks/abc229_f,F. Make Bipartite,1917
abc229_g,https://atcoder.jp/contests/abc229/tasks/abc229_g,G. Longest Y,2121
abc229_h,https://atcoder.jp/contests/abc229/tasks/abc229_h,H. Advance or Eat,3308
arc129_a,https://atcoder.jp/contests/arc129/tasks/arc129_a,A. Smaller XOR,727
arc129_b,https://atcoder.jp/contests/arc129/tasks/arc129_b,B. Range Point Distance,735
arc129_c,https://atcoder.jp/contests/arc129/tasks/arc129_c,C. Multiple of 7,1687
arc129_d,https://atcoder.jp/contests/arc129/tasks/arc129_d,D. -1+2-1,2300
arc129_e,https://atcoder.jp/contests/arc129/tasks/arc129_e,E. Yet Another Minimization,3337
arc129_f,https://atcoder.jp/contests/arc129/tasks/arc129_f,F. Let's Play Tag,3596
abc228_a,https://atcoder.jp/contests/abc228/tasks/abc228_a,A. On and Off,55
abc228_b,https://atcoder.jp/contests/abc228/tasks/abc228_b,B. Takahashi's Secret,83
abc228_c,https://atcoder.jp/contests/abc228/tasks/abc228_c,C. Final Day,214
abc228_d,https://atcoder.jp/contests/abc228/tasks/abc228_d,D. Linear Probing,1035
abc228_e,https://atcoder.jp/contests/abc228/tasks/abc228_e,E. Integer Sequence Fair,1579
abc228_f,https://atcoder.jp/contests/abc228/tasks/abc228_f,F. Stamp Game,2179
abc228_g,https://atcoder.jp/contests/abc228/tasks/abc228_g,G. Digits on Grid,2711
abc228_h,https://atcoder.jp/contests/abc228/tasks/abc228_h,H. Histogram,2729
abc227_a,https://atcoder.jp/contests/abc227/tasks/abc227_a,A. Last Card,21
abc227_b,https://atcoder.jp/contests/abc227/tasks/abc227_b,B. KEYENCE building,30
abc227_c,https://atcoder.jp/contests/abc227/tasks/abc227_c,C. ABC conjecture,692
abc227_d,https://atcoder.jp/contests/abc227/tasks/abc227_d,D. Project Planning,1643
abc227_e,https://atcoder.jp/contests/abc227/tasks/abc227_e,E. Swap,2377
abc227_f,https://atcoder.jp/contests/abc227/tasks/abc227_f,F. Treasure Hunting,2323
abc227_g,https://atcoder.jp/contests/abc227/tasks/abc227_g,G. Divisors of Binomial Coefficient,2207
abc227_h,https://atcoder.jp/contests/abc227/tasks/abc227_h,H. Eat Them All,3229
abc226_a,https://atcoder.jp/contests/abc226/tasks/abc226_a,A. Round decimals,14
abc226_b,https://atcoder.jp/contests/abc226/tasks/abc226_b,B. Counting Arrays,192
abc226_c,https://atcoder.jp/contests/abc226/tasks/abc226_c,C. Martial artist,539
abc226_d,https://atcoder.jp/contests/abc226/tasks/abc226_d,D. Teleportation,706
abc226_e,https://atcoder.jp/contests/abc226/tasks/abc226_e,E. Just one,1327
abc226_f,https://atcoder.jp/contests/abc226/tasks/abc226_f,F. Score of Permutations,2086
abc226_g,https://atcoder.jp/contests/abc226/tasks/abc226_g,G. The baggage,2373
abc226_h,https://atcoder.jp/contests/abc226/tasks/abc226_h,H. Random Kth Max,2813
agc055_a,https://atcoder.jp/contests/agc055/tasks/agc055_a,A. ABC Identity,1348
agc055_b,https://atcoder.jp/contests/agc055/tasks/agc055_b,B. ABC Supremacy,2059
agc055_c,https://atcoder.jp/contests/agc055/tasks/agc055_c,C. Weird LIS,2803
agc055_d,https://atcoder.jp/contests/agc055/tasks/agc055_d,D. ABC Ultimatum,3506
agc055_f,https://atcoder.jp/contests/agc055/tasks/agc055_f,F. Creative Splitting,4288
abc225_a,https://atcoder.jp/contests/abc225/tasks/abc225_a,A. Distinct Strings,12
abc225_b,https://atcoder.jp/contests/abc225/tasks/abc225_b,B. Star or Not,62
abc225_c,https://atcoder.jp/contests/abc225/tasks/abc225_c,C. Calendar Validator,326
abc225_d,https://atcoder.jp/contests/abc225/tasks/abc225_d,D. Play Train,778
abc225_e,https://atcoder.jp/contests/abc225/tasks/abc225_e,E. 7,1678
abc225_f,https://atcoder.jp/contests/abc225/tasks/abc225_f,F. String Cards,2612
abc225_g,https://atcoder.jp/contests/abc225/tasks/abc225_g,G. X,2566
abc225_h,https://atcoder.jp/contests/abc225/tasks/abc225_h,H. Social Distance 2,3061
abc224_a,https://atcoder.jp/contests/abc224/tasks/abc224_a,A. Tires,6
abc224_b,https://atcoder.jp/contests/abc224/tasks/abc224_b,B. Mongeness,81
abc224_c,https://atcoder.jp/contests/abc224/tasks/abc224_c,C. Triangle?,301
abc224_d,https://atcoder.jp/contests/abc224/tasks/abc224_d,D. 8 Puzzle on Graph,1376
abc224_e,https://atcoder.jp/contests/abc224/tasks/abc224_e,E. Integers on Grid,1657
abc224_f,https://atcoder.jp/contests/abc224/tasks/abc224_f,F. Problem where +s Separate Digits,1733
abc224_g,https://atcoder.jp/contests/abc224/tasks/abc224_g,G. Roll or Increment,2374
abc224_h,https://atcoder.jp/contests/abc224/tasks/abc224_h,H. Security Camera 2,2887
abc223_a,https://atcoder.jp/contests/abc223/tasks/abc223_a,A. Exact Price,6
abc223_b,https://atcoder.jp/contests/abc223/tasks/abc223_b,B. String Shifting,86
abc223_c,https://atcoder.jp/contests/abc223/tasks/abc223_c,C. Doukasen,354
abc223_d,https://atcoder.jp/contests/abc223/tasks/abc223_d,D. Restricted Permutation,1069
abc223_e,https://atcoder.jp/contests/abc223/tasks/abc223_e,E. Placing Rectangles,1510
abc223_f,https://atcoder.jp/contests/abc223/tasks/abc223_f,F. Parenthesis Checking,1641
abc223_g,https://atcoder.jp/contests/abc223/tasks/abc223_g,G. Vertex Deletion,2351
abc223_h,https://atcoder.jp/contests/abc223/tasks/abc223_h,H. Xor Query,2771
arc128_a,https://atcoder.jp/contests/arc128/tasks/arc128_a,A. Gold and Silver,650
arc128_b,https://atcoder.jp/contests/arc128/tasks/arc128_b,B. Balls of Three Colors,941
arc128_c,https://atcoder.jp/contests/arc128/tasks/arc128_c,C. Max Dot,1810
arc128_d,https://atcoder.jp/contests/arc128/tasks/arc128_d,D. Neq Neq,2554
arc128_e,https://atcoder.jp/contests/arc128/tasks/arc128_e,E. K Different Values,3049
arc128_f,https://atcoder.jp/contests/arc128/tasks/arc128_f,F. Game against Robot,3671
abc222_a,https://atcoder.jp/contests/abc222/tasks/abc222_a,A. Four Digits,5
abc222_b,https://atcoder.jp/contests/abc222/tasks/abc222_b,B. Failing Grade,9
abc222_c,https://atcoder.jp/contests/abc222/tasks/abc222_c,C. Swiss-System Tournament,367
abc222_d,https://atcoder.jp/contests/abc222/tasks/abc222_d,D. Between Two Arrays,865
abc222_e,https://atcoder.jp/contests/abc222/tasks/abc222_e,E. Red and Blue Tree,1491
abc222_f,https://atcoder.jp/contests/abc222/tasks/abc222_f,F. Expensive Expense,1934
abc222_g,https://atcoder.jp/contests/abc222/tasks/abc222_g,G. 222,2242
abc222_h,https://atcoder.jp/contests/abc222/tasks/abc222_h,H. Beautiful Binary Tree,3477
abc221_a,https://atcoder.jp/contests/abc221/tasks/abc221_a,A. Seismic magnitude scales,10
abc221_b,https://atcoder.jp/contests/abc221/tasks/abc221_b,B. typo,58
abc221_c,https://atcoder.jp/contests/abc221/tasks/abc221_c,C. Select Mul,379
abc221_d,https://atcoder.jp/contests/abc221/tasks/abc221_d,D. Online games,832
abc221_e,https://atcoder.jp/contests/abc221/tasks/abc221_e,E. LEQ,1515
abc221_f,https://atcoder.jp/contests/abc221/tasks/abc221_f,F. Diameter set,2093
abc221_g,https://atcoder.jp/contests/abc221/tasks/abc221_g,G. Jumping sequence,2914
abc221_h,https://atcoder.jp/contests/abc221/tasks/abc221_h,H. Count Multiset,2793
abc220_a,https://atcoder.jp/contests/abc220/tasks/abc220_a,A. Find Multiple,14
abc220_b,https://atcoder.jp/contests/abc220/tasks/abc220_b,B. Base K,58
abc220_c,https://atcoder.jp/contests/abc220/tasks/abc220_c,C. Long Sequence,119
abc220_d,https://atcoder.jp/contests/abc220/tasks/abc220_d,D. FG operation,664
abc220_e,https://atcoder.jp/contests/abc220/tasks/abc220_e,E. Distance on Large Perfect Binary Tree,1593
abc220_f,https://atcoder.jp/contests/abc220/tasks/abc220_f,F. Distance Sums 2,1304
abc220_g,https://atcoder.jp/contests/abc220/tasks/abc220_g,G. Isosceles Trapezium,2439
abc220_h,https://atcoder.jp/contests/abc220/tasks/abc220_h,H. Security Camera,3047
arc127_a,https://atcoder.jp/contests/arc127/tasks/arc127_a,A. Leading 1s,808
arc127_b,https://atcoder.jp/contests/arc127/tasks/arc127_b,B. Ternary Strings,1594
arc127_c,https://atcoder.jp/contests/arc127/tasks/arc127_c,C. Binary Strings,2092
arc127_d,https://atcoder.jp/contests/arc127/tasks/arc127_d,D. Sum of Min of Xor,2593
arc127_e,https://atcoder.jp/contests/arc127/tasks/arc127_e,E. Priority Queue,2678
arc127_f,https://atcoder.jp/contests/arc127/tasks/arc127_f,F. ±AB,3723
arc126_a,https://atcoder.jp/contests/arc126/tasks/arc126_a,A. Make 10,465
arc126_b,https://atcoder.jp/contests/arc126/tasks/arc126_b,B. Cross-free Matching,1370
arc126_c,https://atcoder.jp/contests/arc126/tasks/arc126_c,C. Maximize GCD,1824
arc126_d,https://atcoder.jp/contests/arc126/tasks/arc126_d,D. Pure Straight,2332
arc126_e,https://atcoder.jp/contests/arc126/tasks/arc126_e,E. Infinite Operations,2766
arc126_f,https://atcoder.jp/contests/arc126/tasks/arc126_f,F. Affine Sort,3488
abc219_a,https://atcoder.jp/contests/abc219/tasks/abc219_a,A. AtCoder Quiz 2,6
abc219_b,https://atcoder.jp/contests/abc219/tasks/abc219_b,B. Maritozzo,18
abc219_c,https://atcoder.jp/contests/abc219/tasks/abc219_c,C. Neo-lexicographic Ordering,260
abc219_d,https://atcoder.jp/contests/abc219/tasks/abc219_d,D. Strange Lunchbox,1085
abc219_e,https://atcoder.jp/contests/abc219/tasks/abc219_e,E. Moat,1690
abc219_f,https://atcoder.jp/contests/abc219/tasks/abc219_f,F. Cleaning Robot,2542
abc219_g,https://atcoder.jp/contests/abc219/tasks/abc219_g,G. Propagation,2287
abc219_h,https://atcoder.jp/contests/abc219/tasks/abc219_h,H. Candles,3297
abc218_a,https://atcoder.jp/contests/abc218/tasks/abc218_a,A. Weather Forecast,7
abc218_b,https://atcoder.jp/contests/abc218/tasks/abc218_b,B. qwerty,14
abc218_c,https://atcoder.jp/contests/abc218/tasks/abc218_c,C. Shapes,1012
abc218_d,https://atcoder.jp/contests/abc218/tasks/abc218_d,D. Rectangles,715
abc218_e,https://atcoder.jp/contests/abc218/tasks/abc218_e,E. Destruction,1004
abc218_f,https://atcoder.jp/contests/abc218/tasks/abc218_f,F. Blocked Roads,1753
abc218_g,https://atcoder.jp/contests/abc218/tasks/abc218_g,G. Game on Tree 2,2217
abc218_h,https://atcoder.jp/contests/abc218/tasks/abc218_h,H. Red and Blue Lamps,2805
abc217_a,https://atcoder.jp/contests/abc217/tasks/abc217_a,A. Lexicographic Order,21
abc217_b,https://atcoder.jp/contests/abc217/tasks/abc217_b,B. AtCoder Quiz,22
abc217_c,https://atcoder.jp/contests/abc217/tasks/abc217_c,C. Inverse of Permutation,49
abc217_d,https://atcoder.jp/contests/abc217/tasks/abc217_d,D. Cutting Woods,802
abc217_e,https://atcoder.jp/contests/abc217/tasks/abc217_e,E. Sorting Queries,986
abc217_f,https://atcoder.jp/contests/abc217/tasks/abc217_f,F. Make Pair,1954
abc217_g,https://atcoder.jp/contests/abc217/tasks/abc217_g,G. Groups,2047
abc217_h,https://atcoder.jp/contests/abc217/tasks/abc217_h,H. Snuketoon,3112
abc216_a,https://atcoder.jp/contests/abc216/tasks/abc216_a,A. Signed Difficulty,17
abc216_b,https://atcoder.jp/contests/abc216/tasks/abc216_b,B. Same Name,38
abc216_c,https://atcoder.jp/contests/abc216/tasks/abc216_c,C. Many Balls,145
abc216_d,https://atcoder.jp/contests/abc216/tasks/abc216_d,D. Pair of Balls,1039
abc216_e,https://atcoder.jp/contests/abc216/tasks/abc216_e,E. Amusement Park,1084
abc216_f,https://atcoder.jp/contests/abc216/tasks/abc216_f,F. Max Sum Counting,1541
abc216_g,https://atcoder.jp/contests/abc216/tasks/abc216_g,G. 01Sequence,1963
abc216_h,https://atcoder.jp/contests/abc216/tasks/abc216_h,H. Random Robots,3295
arc125_a,https://atcoder.jp/contests/arc125/tasks/arc125_a,A. Dial Up,442
arc125_b,https://atcoder.jp/contests/arc125/tasks/arc125_b,B. Squares,1273
arc125_c,https://atcoder.jp/contests/arc125/tasks/arc125_c,C. LIS to Original Sequence,1896
arc125_d,https://atcoder.jp/contests/arc125/tasks/arc125_d,D. Unique Subsequence,2187
arc125_e,https://atcoder.jp/contests/arc125/tasks/arc125_e,E. Snack,2874
arc125_f,https://atcoder.jp/contests/arc125/tasks/arc125_f,F. Tree Degree Subset Sum,3541
abc215_a,https://atcoder.jp/contests/abc215/tasks/abc215_a,A. Your First Judge,7
abc215_b,https://atcoder.jp/contests/abc215/tasks/abc215_b,B. log2(N),68
abc215_c,https://atcoder.jp/contests/abc215/tasks/abc215_c,C. One More aab aba baa,178
abc215_d,https://atcoder.jp/contests/abc215/tasks/abc215_d,D. Coprime 2,736
abc215_e,https://atcoder.jp/contests/abc215/tasks/abc215_e,E. Chain Contestant,1413
abc215_f,https://atcoder.jp/contests/abc215/tasks/abc215_f,F. Dist Max 2,1853
abc215_g,https://atcoder.jp/contests/abc215/tasks/abc215_g,G. Colorful Candies 2,2276
abc215_h,https://atcoder.jp/contests/abc215/tasks/abc215_h,H. Cabbage Master,3101
abc214_a,https://atcoder.jp/contests/abc214/tasks/abc214_a,A. New Generation ABC,4
abc214_b,https://atcoder.jp/contests/abc214/tasks/abc214_b,B. How many?,53
